実験２,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17,image18,image19,image20,image21,image22,image23,image24,image25
絶対位置,The left-most object,The left-most object on the desk,The left-most fruit on the desk,The left-most fruit on the desk.,The left-most object.,The left-most ball.,The right-most ball.,The left-most fruit.,The right-most fruit.,The right-most kitchen tool.,The left-most object.,The right-most fruit.,The left-most ball.,The left-most ball.,The center fruit.,The right-most ball.,The left-most ball.,The left-most fruit.,The left-most fruit.,The right-most ball.,The left-most fruit.,The left-most ball.,The left-most fruit.,The left-most fruit.,The left-most fruit.
,The right-most fruit on the desk,The right-most fruit on the desk,The right-most fruit on the desk,The right-most object on the desk.,The right-most fruit.,The right-most fruit.,The left-most ball.,The left-most ball.,The left-most fruit.,The left-most object.,The left-most fruit.,The right-most ball.,The right-most ball.,The right-most fruit.,The right-most fruit.,The right-most fruit.,The right-most fruit.,The right-most fruit.,The left-most kitchen tool.,The right-most fruit.,The right-most food.,The right-most fruit.,The left-most ball.,The center fruit.,The center fruit.
相対位置,The object at the left of the peach on the desk,The object at the left of the spam on the desk,The object behind the apple on the desk,The object behind the lemon on the desk,The object behind the apple on the desk.,The food behind the mustard.,The object behind the soccer ball.,The object behind the pringles.,The ball behind the banana.,The object behind the rubics cube.,The object behind the pringles.,The object behind the pear.,The object at the right of the soft ball.,The object behind the lemon.,The object at the right of the pringles.,The object at the right of the apple.,The object at the right of the apple.,The object at the right of the spam.,The object at the right of the coffee can.,The object at the right of the apple.,The object at the left of the strawberry.,The object behind the strawberry.,The object at the right of the left strawberry.,The object behind the right peach.,The object behind the strawberry.
,The object at the right of the peach on the desk,The object at the right of the mustard on the desk,The object at the right of the pringles on the desk,The object at the left of the lemon on the desk,The object behind the strawberry on the desk.,The object at the right of the banana.,The object at the right of the soft ball,The object at the left of the lemon.,The object at the left of the pear.,The object at the right of the spam.,The object at the left of the lemon.,The object behind the pringles.,The object behind the mustard.,The object behind the apple.,The object behind the left strawberry.,The object behind the mustard.,The object behind the apple.,The object behind the left strawberry.,The object behind the rubics cube.,The object behind the peach.,The object behind the pear.,The object behind the baseball.,The object behind the right strawberry.,The object in front of the right pringles.,The object behind the pear.
yolo_answer,2,6,2,3,5,1,2,6,4,8,11,7,1,1,3,2,1,2,2,3,2,4,12,3,4
,3,1,4,6,1,5,1,2,2,9,9,1,3,4,2,4,4,4,5,1,11,5,1,7,2
,2,4,5,5,8,9,6,11,1,6,5,10,2,5,1,4,4,5,3,3,5,3,6,6,3
,4,1,6,2,5,3,6,7,2,8,9,4,4,1,4,8,7,3,3,3,7,2,11,4,5
som_answer,9,~,~,~,~,15,12,12,~,6,13,14,8,7,4,14,8,~,~,9,15,10,0,^,10
,14,~,~,~,~,11,16,12,8,7,17,6,14,13,7,16,10,~,6,14,13,^,12,15,9
,9,~,9,15,9,9,10,9,5,8,9,10,12,11,6,16,10,7,10,9,12,8,^,7,7
,12,~,10,12,~,8,10,15,8,6,17,7,16,7,5,5,6,9,8,9,14,6,8,1,8
