実験！Eimage1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17,image18,image19,image20,image21,image22,image23,image24,image25,,,,,
絶対位置,The left-most object on the floor.,The right-most food on the desk.,The right-most fruit on the desk.,The right-most object on the top shelf.,The left-most object on the bottom shelf.,The right-most object on the top shelf.,The left-most object on the middle shelf.,The right-most object on the top shelf.,The right-most object on the top shelf.,The left-most object on the bottom stair.,The left-most ball on the bottom stair.,The left-most fruit on the bottom stair.,The left-most fruit on the bottom stair.,The ball on the middle shelf.,The left-most object on the top shelf.,The left-most object on the top shelf.,The left-most object on the top shelf.,The left-most object on the bottom shelf.,The left-most object on the top shelf.,The left-most object on the tall table.,The right-most object on the tall table.,The left-most object on the tall table.,The left-most object on the tall table.,The left-most object on the tall table.,The right-most object on the long table.,The left-most object on the long table.,The left-most object on the long table.,The left-most object on the long table.,The left-most fruit on the long table.
,The right-most fruit on the floor.,The left-most object under the desk.,The ball under the desk.,The center object on the middle shelf.,The center object on the top shelf.,The right-most fruit on the bottom shelf.,The left-most fruit on the middle shelf.,The left-most ball on the middle shelf.,The right-most ball on the top shelf.,The right-most ball on the middle stair.,The left-most fruit on the bottom stair.,The right-most fruit on the top stair.,The right-most fruit on the top stair.,The right-most ball on the top stair.,The left-most object on the middle shelf.,The right-most object on the bottom shelf.,The right-most object on the top shelf.,The right-most object on the bottom shelf.,The right-most object on the top shelf.,The right-most object on the long table.,The right-most object on the long table.,The right-most object on the long table.,The right-most object on the long table.,The left-most fruit on the long table.,The left-most object on the long table.,The right-most object on the long table.,The right-most object on the long table.,The right-most object on the long table.,The right-most fruit on the long table.
相対位置,The object behind the lemon on the desk,The object behind the rubics_cube on the desk,The object behind the pringles on the desk,The object at the left of the pitcher on the bottom shelf.,The object at the right of the banana.,The object behind the banana on the bottom shelf.,The object behind the mustard on the top shelf.,The ball on the spam on the bottom shelf.,The object behind the pear on the top shelf.,The object at the right of the pringles on the top stair.,The object behind the peach on the bottom stair.,The object in front of pringles on the top shelf.,The object in front of pringles on the middle shelf.,The object behind the lemon on the bottom stair.,The object at the right of the mustard on the top shelf.,The object behind the apple on the middle shelf.,The object behind the lemon on the middle shelf.,The object behind the peach on the middle shelf.,The object behind the strawberry on the middle shelf.,The object at the right of the apple on the long table.,The object behind the apple on the long table.,The object behind the strawberry on the long table.,The object behind the peach on the long table.,The object behind the peach on the long table.,The object behind the peach on the chair.,The object behind the peach on the chair.,The object behind the lemon on the tall table.,The object behind the peach on the tall table.,The object behind the strawberry on the tall table.
,The object at the right of the pringles on the desk.,The object at the left of the apple on the floor,The object behind the lemon on the table.,The fruit above the tomato can on the bottom shelf.,The object above the coffee can on the bottom shelf.,The object behind the tennis ball on the middle shelf.,The object on the rubics cube on the bottom shelf.,The fruit on the rubics cube on the bottom shelf.,The object at the right of the tomato soup can on the middle shelf.,The object at the right of the soccer ball on the bottom stair.,The object behind the rubics cube  on the top stair.,The object behind the apple on the bottom stair.,The object in front of pringles on the bottom shelf.,The object in front of soccer ball on the middle stair.,The object at the right of the coffee can on the middle shelf.,The object at the right of the pear on the bottom shelf.,The object behind the rubics cube on the middle shelf.,The object behind the peach on the top shelf.,The object behind the strawberry on the bottom shelf.,The object at the right of the pear on the tall table.,The object behind the base ball on the long table.,The object behind the strawberry on the tall table.,The object behind the peach on the tall table.,The object behind the apple on the long table.,The object at the left of the apple on the long table.,The object in front of the pringles on the chair.,The object in front of the pringles on the long table.,The object behind the peach on the chair.,The object behind the atrawberry on the chair.
yolo_answer,8,8,6,9,10,6,3,11,4,1,5,3,3,1,12,2,4,8,2,3,3,6,5,5,9,3,7,5,2
,5,3,13,4,6,4,3,10,4,6,1,4,2,8,4,4,7,4,9,7,2,1,3,4,8,8,1,3,3
,6,9,4,1,5,11,6,1,7,4,5,4,1,5,5,3,3,5,1,7,1,7,1,10,3,6,9,8,11
,7,3,1,10,6,1,1,3,12,3,3,3,3,7,7,4,8,7,6,5,7,2,7,6,8,4,7,9,7
som_answer,~,12,~,7,~,5,13,6,~,13,18,16,~,12,16,13,13,11,15,~,15,13,16,17,~,15,14,~,17
,~,~,16,11,7,11,13,12,~,12,~,12,~,17,15,17,~,13,14,18,16,~,10,~,11,19,13,17,~
,16,17,10,6,~,6,10,8,9,16,16,12,~,15,14,12,11,10,12,18,14,12,13,16,15,18,16,16,13
,8,~,9,6,7,9,9,9,1,~,10,17,~,~,~,17,12,8,13,17,13,10,14,15,11,~,~,19,16
