folder,question,response
1,person wearing the black shirt,2
1,person with the glasses,2
1,person near the chair,2
2,person wearing the white shirt,2
2,standing person,4
2,sitting person on the sofa,2
3,person wearing the black shirt,5
3,person pointing to the left,4
3,person near the shelf,4
4,person wearing the black shirt,1
4,standing person,1
4,person near the desk,3
5,person wearing the white shirt,3
5,sitting person,3
5,person near the chair,3
6,person wearing the short pants,5
6,person with the laptop,2
6,person near the sofa,2
7,person wearing the green hoodie,6
7,person wearing the black shirt,3
7,person near the shelf,3
8,person wearing the black shirt,2
8,person wearing the green shirt,1
8,person near the sofa,1
9,person wearing the black shirt,4
9,person raising hand,4
9,person near the sofa,1
10,person wearing the green shirt,1
10,person raising hand,1
10,person near the chair,2
11,person wearing watch,3
11,sitting person,4
11,person near the sofa,7
12,person wearing green shirt,1
12,person wearing black shirt,"3
4"
12,person near the chair,4
13,person wearing green shirt,3
13,person wearing black shirt,2
13,person near the chair,2
14,person wearing green shirt,1
14,person raising hand,2
14,person near the chair,2
15,person wearing black shirt,2
15,person raising hand,3
15,person near the sofa,2
16,person wearing green shirt,4
16,person wearing black shirt,2
16,person near the sofa,3
17,person wearing green shirt,2
17,person with the ball,3
17,person near the sofa,2
18,person wearing green shirt,3
18,person with the airplane toy,3
18,person near the sofa,2
19,person wearing green shirt,4
19,standing person,4
19,person near the desk,4
20,person wearing black shirt,1
20,person with the toys,2
20,person near the chair,3
21,person wearing green shirt,4
21,person raising hand,5
21,person near the sofa,1
22,person wearing black shirt,"1, 5, 6"
22,sitting person,2
22,person near the sofa,3
23,person wearing green shirt,3
23,thumbs up person,1
23,person near the sofa,2
24,person wearing black shirt,4
24,sitting person,2
24,person near the sofa,2
25,person wearing brown shirt,4
25,sitting person,2
25,person near the sofa,2
26,person wearing brown shirt,2
26,standing person,3
26,person near the sofa,2
27,person wearing brown shirt,1
27,person with the pringles,3
27,person near the chair,4
28,person wearing brown shirt,3
28,person with the pringles,1
28,person near the chair,2
29,person wearing brown shirt,4
29,sitting person,2
29,person near the sofa,2
30,person wearing brown shirt,3
30,sitting person,3
30,person near the sofa,1
31,person wearing brown shirt,3
31,person wearing black shirt,2
31,person near the sofa,2
32,person wearing black shirt,2
32,person with the water,1
32,person near the sofa,1
33,person wearing brown shirt,1
33,standing person,1
33,person near the sofa,2
34,person wearing black shirt,1
34,person raising hand,2
34,person near the chair,3
35,person wearing green shirt,4
35,person with the pringles,1
35,person near the sofa,1
36,person wearing green shirt,1
36,person with the watch,3
36,person near the chair,4
37,person wearing black shirt,2
37,sitting person,2
37,person near the sofa,2
38,person wearing black shirt,2
38,sitting person,2
38,person near the sofa,1
39,person wearing black shirt,4
39,sitting person,2
39,person near the sofa,2
40,person wearing green shirt,2
40,sitting person,1
40,person near the sofa,1
41,person wearing green shirt,3
41,sitting person,1
41,person near the sofa,1
42,person wearing green shirt,2
42,sitting person,1
42,person near the sofa,1
43,person wearing white shirt,4
43,sitting person,2
43,person near the sofa,2
44,person wearing white shirt,4
44,person raising hand,"3, 4"
44,person near the sofa,1
45,person wearing blue shirt,2
45,person with the phone,2
45,person near the sofa,2
46,person wearing white shirt,2
46,sitting person,3
46,person near the sofa,1
